id,host_id,neighbourhood,latitude,longitude,room_type,price,distance_to_center,zone
6400,13822,TIBALDI,45.44119,9.17813,Private room,100,2.74,2
23986,95941,NAVIGLI,45.44806,9.17373,Entire home/apt,150,2.22,2
24107,46951,CITTA' STUDI,45.47179,9.23669,Entire home/apt,100,3.7,3
40470,174203,VIALE MONZA,45.52023,9.22747,Entire home/apt,80,6.87,5
46536,138683,VIALE MONZA,45.52276,9.22478,Entire home/apt,90,7.05,5
55055,246217,BUENOS AIRES - VENEZIA,45.48096,9.21686,Entire home/apt,145,2.78,2
55388,261549,GIAMBELLINO,45.44998,9.13828,Entire home/apt,140,4.38,3
59226,244087,CENTRALE,45.48201,9.19809,Entire home/apt,180,2.07,2
74835,157872,DUOMO,45.46968,9.17862,Entire home/apt,280,1.11,1
77958,387110,BRERA,45.4701,9.19275,Entire home/apt,150,0.68,1
82227,447162,WASHINGTON,45.46389,9.16357,Entire home/apt,125,2.11,2
84741,443989,PARCO FORLANINI - ORTICA,45.46935,9.24505,Private room,41,4.29,3
88130,481475,VILLAPIZZONE,45.49764,9.14533,Entire home/apt,195,5.13,4
90830,181255620,NAVIGLI,45.44678,9.16347,Entire home/apt,129,2.87,2
93025,499743,GUASTALLA,45.47169,9.19748,Entire home/apt,90,0.99,1
93232,500414,XXII MARZO,45.4658,9.21551,Private room,55,1.96,2
94233,503840,ISOLA,45.48903,9.19147,Entire home/apt,95,2.77,2
98119,503840,ISOLA,45.48866,9.19323,Private room,65,2.73,2
100638,528516,ADRIANO,45.50689,9.23936,Private room,30,6.09,5
101087,530151,STADERA,45.43079,9.18234,Entire home/apt,80,3.77,3
102817,512747,S. CRISTOFORO,45.44465,9.15096,Entire home/apt,93,3.78,3
109384,564830,WASHINGTON,45.46358,9.15732,Entire home/apt,120,2.6,2
122514,613760,GIAMBELLINO,45.45032,9.15218,Entire home/apt,75,3.37,3
140874,685839,ISOLA,45.4938,9.18515,Private room,55,3.32,3
141833,689467,DUOMO,45.46024,9.18063,Entire home/apt,180,0.89,1
143329,695509,BUENOS AIRES - VENEZIA,45.48263,9.21557,Entire home/apt,66,2.83,2
153925,740161,TORTONA,45.45648,9.15762,Entire home/apt,148,2.71,2
155720,748765,NAVIGLI,45.44512,9.16682,Private room,40,2.82,2
171017,815807,LORETO,45.495,9.21591,Entire home/apt,85,3.96,3
172600,819192,DE ANGELI - MONTE ROSA,45.48229,9.14725,Entire home/apt,84,3.94,3
179197,857154,TICINESE,45.45034,9.17841,Entire home/apt,75,1.81,2
181914,574635,S. CRISTOFORO,45.44358,9.1558,Entire home/apt,108,3.55,3
189441,913914,BOVISASCA,45.51503,9.15899,Private room,40,6.17,5
189457,913985,WASHINGTON,45.46267,9.15929,Entire home/apt,145,2.45,2
206450,930535,PORTA ROMANA,45.45238,9.20745,Entire home/apt,120,1.86,2
218379,962865,NAVIGLI,45.45017,9.17305,Private room,90,2.07,2
222900,1157462,TORTONA,45.4502,9.16066,Entire home/apt,70,2.81,2
226939,1183857,VILLAPIZZONE,45.50001,9.14531,Private room,70,5.33,4
233795,1224206,BRERA,45.47095,9.1843,Entire home/apt,277,0.9,1
234090,1225428,BUENOS AIRES - VENEZIA,45.47523,9.20644,Private room,45,1.75,2
234244,1138330,TICINESE,45.45768,9.17713,Entire home/apt,514,1.27,1
239369,1254752,VIGENTINA,45.45382033290178,9.195191200147129,Entire home/apt,189,1.21,1
253394,1296566,GRATOSOGLIO - TICINELLO,45.4087,9.17379,Private room,28,6.31,5
255276,1245145,TIBALDI,45.44187,9.1825,Shared room,93,2.56,2
255543,1342941,TICINESE,45.44281,9.18019,Private room,38,2.51,2
256390,510832,BUENOS AIRES - VENEZIA,45.47104,9.21638,Entire home/apt,135,2.16,2
256399,1348719,VIGENTINA,45.44549,9.19737,Entire home/apt,90,2.15,2
287030,1493251,BUENOS AIRES - VENEZIA,45.4828,9.2143,Entire home/apt,93,2.78,2
287066,1493433,BICOCCA,45.51424,9.21428,Entire home/apt,60,5.87,4
297007,1531776,BRERA,45.480985411829245,9.186795759694048,Private room,75,1.89,2
300095,1546157,DE ANGELI - MONTE ROSA,45.470833,9.154911,Entire home/apt,138,2.88,2
300436,1547454,GIARDINI PORTA VENEZIA,45.47486,9.20428,Private room,72,1.6,2
300780,1549375,VILLAPIZZONE,45.491676330566406,9.15281581878662,Entire home/apt,108,4.25,3
301889,1225428,BUENOS AIRES - VENEZIA,45.47526,9.20625,Entire home/apt,864,1.74,2
302491,464145,RIPAMONTI,45.43277,9.20212,Private room,58,3.61,3
303469,1562078,BANDE NERE,45.45893478393555,9.15040111541748,Entire home/apt,80,3.19,3
304050,1566887,XXII MARZO,45.45709,9.21531,Private room,58,2.09,2
309905,1593809,TICINESE,45.44383,9.1786,Entire home/apt,200,2.45,2
312428,1606102,TICINESE,45.45129,9.17867,Entire home/apt,85,1.71,2
317024,1625508,BUENOS AIRES - VENEZIA,45.47663,9.20522,Private room,70,1.8,2
329995,1493251,BUENOS AIRES - VENEZIA,45.48553,9.2163,Private room,63,3.11,3
333223,1697947,MAGENTA - S. VITTORE,45.46097,9.16431,Private room,150,2.08,2
335766,1554399,TICINESE,45.45206,9.18101,Entire home/apt,220,1.54,2
341076,1730481,PARCO LAMBRO - CIMIANO,45.49694,9.23807,Entire home/apt,72,5.2,4
344373,1554399,TICINESE,45.4503,9.17947,Entire home/apt,180,1.77,2
344791,1749204,RONCHETTO SUL NAVIGLIO,45.43835,9.15247,Private room,56,4.14,3
346020,1754612,UMBRIA - MOLISE,45.45663,9.22249,Entire home/apt,76,2.63,2
348448,326090,BRERA,45.47617,9.18873,Entire home/apt,108,1.34,1
364897,1842096,TICINESE,45.45461,9.17554,Entire home/apt,93,1.58,2
364919,1842857,BUENOS AIRES - VENEZIA,45.48395,9.21534,Entire home/apt,121,2.93,2
365083,1843798,BRERA,45.47473,9.18526,Private room,74,1.24,1
367858,1857092,TORTONA,45.45462,9.16856,Entire home/apt,110,2.02,2
370033,1865237,BUENOS AIRES - VENEZIA,45.47547,9.20428,Entire home/apt,120,1.65,2
374326,1361986,BUENOS AIRES - VENEZIA,45.47336,9.2148,Private room,39,2.15,2
375429,1888685,PARCO FORLANINI - ORTICA,45.46902,9.24435,Entire home/apt,69,4.23,3
375710,1889524,SARPI,45.47898,9.17429,Entire home/apt,63,2.08,2
379677,1813110,BOVISA,45.50024,9.16973,Entire home/apt,500,4.33,3
381512,1889524,DUOMO,45.46809,9.18266,Entire home/apt,500,0.75,1
383918,1921860,TICINESE,45.44881,9.17843,Entire home/apt,243,1.96,2
385378,1928994,SARPI,45.48148,9.17603,Private room,85,2.23,2
386235,1933268,LORETO,45.48957,9.21325,Entire home/apt,350,3.33,3
387543,1939168,STADERA,45.43685,9.18413,Entire home/apt,35,3.08,3
390076,1954673,VIGENTINA,45.44975,9.19208,Entire home/apt,92,1.61,2
391334,1957255,PADOVA,45.50292,9.23328,Private room,38,5.45,4
392296,1961267,TICINESE,45.45175,9.1804,Entire home/apt,135,1.6,2
392515,1962863,CENTRALE,45.48934,9.20258,Private room,55,2.95,2
392801,821940,ISOLA,45.49481,9.18651,Private room,50,3.42,3
392891,1963290,BUENOS AIRES - VENEZIA,45.470909,9.216168,Entire home/apt,350,2.13,2
394443,1971999,UMBRIA - MOLISE,45.45281,9.21758,Entire home/apt,135,2.46,2
396939,1962863,CENTRALE,45.48879,9.20251,Private room,41,2.89,2
397875,1987465,PARCO FORLANINI - ORTICA,45.46984,9.24201,Entire home/apt,43,4.07,3
399142,1509818,SARPI,45.48276,9.16772,Entire home/apt,99,2.73,2
399879,1922739,TORTONA,45.4534,9.16487,Entire home/apt,125,2.34,2
400300,1998219,GUASTALLA,45.46539688110352,9.204925537109377,Entire home/apt,300,1.13,1
402406,2008587,GARIBALDI REPUBBLICA,45.48396,9.18284,Entire home/apt,139,2.28,2
402422,2008622,LODI - CORVETTO,45.44118,9.22237,Entire home/apt,100,3.57,3
403341,2006098,GRATOSOGLIO - TICINELLO,45.42198,9.17212,Private room,41,4.91,4
403578,2012457,NIGUARDA - CA' GRANDA,45.5069,9.19964,Entire home/apt,97,4.81,4
403602,2012951,DUOMO,45.461708068847656,9.188032150268556,Entire home/apt,217,0.34,1
404938,2018026,VIALE MONZA,45.51031,9.22374,Private room,40,5.75,4
405061,2018026,VIALE MONZA,45.51163,9.22556,Private room,40,5.95,4
405089,1853582,PADOVA,45.50171,9.22532,Private room,80,4.98,4
406218,2024298,WASHINGTON,45.46623,9.15929,Private room,60,2.45,2
406353,2024492,NAVIGLI,45.44866,9.17369,Entire home/apt,100,2.17,2
409123,2036809,GIAMBELLINO,45.45158,9.15188,Private room,27,3.33,3
409414,510389,CENTRALE,45.48058,9.19948,Private room,99,1.95,2
409509,1865237,BUENOS AIRES - VENEZIA,45.47728,9.20178,Private room,83,1.7,2
409985,2041012,ISOLA,45.49162,9.18314,Entire home/apt,150,3.11,3
410480,2043421,CITTA' STUDI,45.48072,9.237,Shared room,25,4.07,3
411118,2046698,BUENOS AIRES - VENEZIA,45.47895,9.21853,Private room,71,2.73,2
412833,2054298,DUOMO,45.46173095703125,9.192668914794922,Entire home/apt,456,0.32,1
413624,2057804,BUENOS AIRES - VENEZIA,45.47177,9.22035,Private room,45,2.47,2
414465,2061296,VILLAPIZZONE,45.49608,9.1381,Entire home/apt,314,5.42,4
414550,2061669,FORZE ARMATE,45.46044,9.10212,Private room,37,6.92,5
414619,2061938,TIBALDI,45.44047,9.17413,Private room,150,2.94,2
415534,2066962,SARPI,45.48147,9.17606,Entire home/apt,120,2.23,2
416072,2068763,LORETO,45.48973,9.21783,Entire home/apt,147,3.55,3
416539,510389,CENTRALE,45.4793,9.19937,Private room,140,1.82,2
417903,1928994,SARPI,45.479730000000004,9.17676,Private room,50,2.04,2
418415,2080940,NAVIGLI,45.45232,9.17111,Entire home/apt,300,2.01,2
419218,2084819,LORETO,45.49173,9.222817,Entire home/apt,79,3.97,3
420241,2089781,VIALE MONZA,45.51282,9.22322,Entire home/apt,100,5.98,4
420988,1392051,CENTRALE,45.47842,9.19915,Entire home/apt,146,1.72,2
421430,2095815,TICINESE,45.44697,9.18181,Private room,100,2.03,2
423437,2105878,TICINESE,45.44754,9.17709,Entire home/apt,72,2.13,2
425205,2114286,NAVIGLI,45.45236,9.17744,Entire home/apt,30,1.67,2
426809,2122261,TICINESE,45.45117,9.18076,Entire home/apt,200,1.64,2
427820,1917346,SARPI,45.48126,9.17609,Private room,65,2.21,2
430860,2142268,PARCO LAMBRO - CIMIANO,45.49251,9.23157,Private room,65,4.49,3
431719,1467265,DUOMO,45.4607,9.18653,Entire home/apt,814,0.5,1
432325,2149913,ISOLA,45.48794,9.18451,Entire home/apt,150,2.69,2
432373,5476690,CITTA' STUDI,45.48415,9.2346,Entire home/apt,130,4.09,3
432492,2129715,PAGANO,45.48018884372555,9.163445228100656,Entire home/apt,75,2.77,2
434334,2158387,DUOMO,45.46132,9.18413,Entire home/apt,214,0.59,1
434379,2158679,MAGENTA - S. VITTORE,45.45834,9.17165,Entire home/apt,129,1.61,2
